,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
77,Norte,RO,,11,,,,2023-01-01,1,1777225.0,471673,0,7399,0,,,
78,Norte,RO,,11,,,,2023-01-02,1,1777225.0,472112,439,7400,1,,,
79,Norte,RO,,11,,,,2023-01-03,1,1777225.0,472459,347,7401,1,,,
80,Norte,RO,,11,,,,2023-01-04,1,1777225.0,473198,739,7404,3,,,
81,Norte,RO,,11,,,,2023-01-05,1,1777225.0,473724,526,7406,2,,,
82,Norte,RO,,11,,,,2023-01-06,1,1777225.0,474137,413,7406,0,,,
83,Norte,RO,,11,,,,2023-01-07,1,1777225.0,474455,318,7407,1,,,
84,Norte,RO,,11,,,,2023-01-08,2,1777225.0,474578,123,7409,2,,,
85,Norte,RO,,11,,,,2023-01-09,2,1777225.0,474912,334,7412,3,,,
86,Norte,RO,,11,,,,2023-01-10,2,1777225.0,475429,517,7412,0,,,
87,Norte,RO,,11,,,,2023-01-11,2,1777225.0,475973,544,7414,2,,,
88,Norte,RO,,11,,,,2023-01-12,2,1777225.0,476629,656,7414,0,,,
89,Norte,RO,,11,,,,2023-01-13,2,1777225.0,476983,354,7415,1,,,
90,Norte,RO,,11,,,,2023-01-14,2,1777225.0,477118,135,7415,0,,,
91,Norte,RO,,11,,,,2023-01-15,3,1777225.0,477135,17,7415,0,,,
92,Norte,RO,,11,,,,2023-01-16,3,1777225.0,477195,60,7417,2,,,
93,Norte,RO,,11,,,,2023-01-17,3,1777225.0,477626,431,7418,1,,,
94,Norte,RO,,11,,,,2023-01-18,3,1777225.0,478071,445,7418,0,,,
95,Norte,RO,,11,,,,2023-01-19,3,1777225.0,478263,192,7418,0,,,
96,Norte,RO,,11,,,,2023-01-20,3,1777225.0,478445,182,7418,0,,,
97,Norte,RO,,11,,,,2023-01-21,3,1777225.0,478562,117,7418,0,,,
98,Norte,RO,,11,,,,2023-01-22,4,1777225.0,478570,8,7418,0,,,
99,Norte,RO,,11,,,,2023-01-23,4,1777225.0,478714,144,7418,0,,,
100,Norte,RO,,11,,,,2023-01-24,4,1777225.0,478822,108,7418,0,,,
